id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,location,last_review_year
50682243,Home in Austin · ★4.95 · 2 bedrooms · 2 beds · 1.5 baths,309258990,Cj,,78732,30.41466,-97.88983,Entire home/apt,599,1,58,2023-01-16,2.18,1,0,7,,"(-97.88983, 30.41466)",2023.0
50683305,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,23424308,Alejandro,,78758,30.360781,-97.713432,Private room,48,29,3,2022-07-31,0.13,5,364,0,,"(-97.713432, 30.360781)",2022.0
50694386,Rental unit in Austin · ★4.90 · Studio · 1 bed · 1 bath,235442024,Beth,,78752,30.32813,-97.70313,Entire home/apt,69,1,20,2023-07-25,0.9,1,153,7,,"(-97.70313, 30.32813)",2023.0
50696116,Home in Austin · ★4.74 · 4 bedrooms · 6 beds · 3 baths,293556347,UrbanStay,,78702,30.26201,-97.69679,Entire home/apt,407,1,103,2023-08-28,3.86,32,349,38,,"(-97.69679, 30.26201)",2023.0
50696829,Rental unit in Austin · 1 bedroom · 1 bed · 1 shared bath,142152592,Yonatan,,78705,30.28754,-97.74604,Shared room,40,3,0,,,1,0,0,,"(-97.74604, 30.28754)",
50698269,Home in Austin · 1 bedroom · 1 bed · 1 shared bath,109901592,Jade,,78745,30.205580214645558,-97.8130481239464,Private room,51,1,0,,,1,0,0,,"(-97.8130481239464, 30.205580214645558)",
50698469,Home in Austin · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,80105212,Angelica,,78754,30.35457,-97.65972,Private room,80,1,14,2022-11-13,0.53,2,0,3,,"(-97.65972, 30.35457)",2022.0
50700795,Home in Austin · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,80105212,Angelica,,78754,30.35653,-97.65926,Private room,80,1,13,2022-11-13,0.49,2,0,2,,"(-97.65926, 30.35653)",2022.0
50704625,Home in Austin · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,133437179,John,,78745,30.2185,-97.78287,Entire home/apt,127,1,91,2023-09-02,3.45,2,132,36,,"(-97.78287, 30.2185)",2023.0
50704769,Home in Austin · ★4.86 · 3 bedrooms · 3 beds · 2 baths,247054632,Larissa,,78727,30.41942,-97.68631,Entire home/apt,116,3,99,2023-08-27,3.75,1,151,37,,"(-97.68631, 30.41942)",2023.0
50706010,Home in Austin · 4 bedrooms · 5 beds · 3.5 baths,4893298,Mary,,78704,30.252658771795492,-97.77076432290744,Entire home/apt,731,28,1,2022-08-31,0.08,3,142,0,,"(-97.77076432290744, 30.252658771795492)",2022.0
50725111,Guesthouse in Austin · ★4.93 · 2 bedrooms · 3 beds · 1 bath,1135528,Joseph,,78704,30.24783,-97.78186,Entire home/apt,233,3,42,2023-08-29,1.57,3,255,12,,"(-97.78186, 30.24783)",2023.0
50725419,Guest suite in Austin · ★4.67 · 2 bedrooms · 2 beds · 1 bath,114422088,French Cowboys Management,,78745,30.21062,-97.7829,Entire home/apt,142,30,43,2023-05-29,1.61,25,353,6,,"(-97.7829, 30.21062)",2023.0
50726693,Rental unit in Austin · ★4.18 · 1 bedroom · 2 beds · 1 bath,274552333,Evonify,,78752,30.32129,-97.7125,Entire home/apt,102,1,50,2023-07-28,1.92,126,362,22,,"(-97.7125, 30.32129)",2023.0
50726700,Rental unit in Austin · ★4.33 · 1 bedroom · 2 beds · 1 bath,274552333,Evonify,,78723,30.29798,-97.69013,Entire home/apt,92,1,54,2023-06-06,2.13,126,360,22,,"(-97.69013, 30.29798)",2023.0
50726702,Rental unit in Austin · ★4.31 · 2 bedrooms · 2 beds · 1 bath,274552333,Evonify,,78751,30.30131,-97.73358,Entire home/apt,122,1,32,2023-07-15,1.2,126,164,19,,"(-97.73358, 30.30131)",2023.0
50726704,Rental unit in Austin · ★4.55 · 1 bedroom · 2 beds · 1 bath,274552333,Evonify,,78723,30.29656,-97.69027,Entire home/apt,108,1,22,2023-09-02,0.86,126,350,11,,"(-97.69027, 30.29656)",2023.0
50734385,Home in Austin · ★4.58 · 3 bedrooms · 3 beds · 2 baths,374645236,Michael,,78758,30.39553,-97.70126,Entire home/apt,125,2,57,2023-05-15,2.22,13,130,13,,"(-97.70126, 30.39553)",2023.0
50747608,Cottage in Austin · ★4.96 · 2 bedrooms · 2 beds · 1 bath,108794013,Nora,,78702,30.25771,-97.71489,Entire home/apt,214,2,28,2023-06-18,1.46,1,81,12,,"(-97.71489, 30.25771)",2023.0
50747840,Home in Austin · ★5.0 · 7 bedrooms · 5 beds · 6.5 baths,210733801,Above Vacation,,78732,30.415972,-97.900588,Entire home/apt,3805,1,4,2022-10-30,0.25,43,136,3,,"(-97.900588, 30.415972)",2022.0
50747884,Home in Austin · 7 bedrooms · 14 beds · 7 baths,210733801,Above Vacation,,78732,30.350924,-97.869556,Entire home/apt,2970,1,0,,,43,31,0,,"(-97.869556, 30.350924)",
50748723,Rental unit in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,3614096,Leah,,78705,30.30037,-97.74378,Entire home/apt,150,2,31,2023-03-19,1.29,2,100,13,,"(-97.74378, 30.30037)",2023.0
50752806,Home in Austin · 3 bedrooms · 4 beds · 3 baths,118565935,Renters Club,,78704,30.254,-97.78393,Entire home/apt,3430,1,1,2021-10-04,0.04,78,365,0,,"(-97.78393, 30.254)",2021.0
50754186,Home in Austin · ★4.83 · 2 bedrooms · 2 beds · 2 baths,21279,Eric,,78733,30.34674,-97.85852,Entire home/apt,353,3,12,2023-09-04,0.46,1,337,8,,"(-97.85852, 30.34674)",2023.0
50755754,Place to stay in Austin · ★4.86 · 3 bedrooms · 6 beds · 2 baths,410169720,Jason,,78702,30.25844,-97.72376,Entire home/apt,81,1,169,2023-09-01,6.35,8,342,66,,"(-97.72376, 30.25844)",2023.0
50767445,Home in Austin · ★4.78 · 2 bedrooms · 3 beds · 1 bath,410169720,Jason,,78702,30.25654,-97.72375,Entire home/apt,66,1,188,2023-09-08,7.12,8,343,85,,"(-97.72375, 30.25654)",2023.0
50767849,Home in Austin · ★4.88 · 2 bedrooms · 2 beds · 1 bath,35914926,Sarah,,78721,30.27151,-97.68643,Entire home/apt,117,1,72,2023-08-07,2.75,2,88,26,,"(-97.68643, 30.27151)",2023.0
50768087,Home in Austin · ★4.80 · 5 bedrooms · 9 beds · 3 baths,410169720,Jason,,78702,30.25859,-97.72388,Entire home/apt,153,1,35,2023-07-23,1.43,8,335,17,,"(-97.72388, 30.25859)",2023.0
50772497,Home in Austin · ★4.88 · 4 bedrooms · 12 beds · 3 baths,1927941,Nicky,,78724,30.30106,-97.64286,Entire home/apt,442,1,73,2023-08-27,2.75,2,80,32,,"(-97.64286, 30.30106)",2023.0
50773333,Guest suite in Austin · ★4.95 · 1 bedroom · 1 bed · 1 bath,25967855,Lynn & Mario,,78753,30.35901,-97.69497,Entire home/apt,69,2,82,2023-09-01,3.09,2,338,42,,"(-97.69497, 30.35901)",2023.0
50773990,Condo in Austin · ★4.96 · Studio · 2 beds · 1 bath,346462009,Matthew,,78701,30.25867,-97.73972,Entire home/apt,143,1,23,2021-11-05,0.91,1,0,0,,"(-97.73972, 30.25867)",2021.0
50790623,Rental unit in Austin · 2 bedrooms · 1 bath,104401000,Maxx,,78701,30.27239,-97.74684,Entire home/apt,558,2,1,2022-10-16,0.09,2,89,1,,"(-97.74684, 30.27239)",2022.0
50790746,Townhouse in Austin · ★4.69 · 2 bedrooms · 2 beds · 1 bath,72699326,Sarah,,78745,30.1932,-97.78431,Entire home/apt,122,28,13,2023-01-17,0.51,3,69,9,,"(-97.78431, 30.1932)",2023.0
50791196,Bungalow in Austin · ★4.98 · Studio · 2 beds · 1 bath,3939302,Naya,,78744,30.16596,-97.76975,Entire home/apt,83,2,122,2023-08-27,4.62,2,132,50,,"(-97.76975, 30.16596)",2023.0
50792349,Home in Austin · ★4.71 · 3 bedrooms · 7 beds · 2 baths,302142399,Brian,,78703,30.27574,-97.76122,Entire home/apt,224,2,21,2023-08-16,0.81,6,125,10,,"(-97.76122, 30.27574)",2023.0
50792868,Home in Austin · ★4.25 · 3 bedrooms · 1 bed · 2 baths,392137061,Mohammad,,78724,30.26376,-97.58516,Entire home/apt,199,4,4,2023-03-23,0.17,1,318,2,,"(-97.58516, 30.26376)",2023.0
50794143,Home in Austin · ★3.67 · 1 bedroom · 1 bed · 1 private bath,285364413,Christian,,78741,30.238252639770508,-97.73566436767578,Private room,72,3,3,2023-05-01,0.24,45,64,2,,"(-97.73566436767578, 30.238252639770508)",2023.0
50794706,Home in Austin · 5 bedrooms · 6 beds · 4 baths,285364413,Christian,,78741,30.238252639770508,-97.73566436767578,Entire home/apt,291,3,0,,,45,32,0,,"(-97.73566436767578, 30.238252639770508)",
50795963,Home in Austin · ★4.89 · 4 bedrooms · 4 beds · 3 baths,410540510,Joanna,,78753,30.38386,-97.66973,Entire home/apt,249,2,100,2023-02-20,3.78,5,16,19,,"(-97.66973, 30.38386)",2023.0
50797400,Condo in Austin · 1 bedroom · 1 bed · 1 shared bath,52995915,Stephanie,,78757,30.36606,-97.72161,Private room,55,2,1,2021-07-18,0.04,2,0,0,,"(-97.72161, 30.36606)",2021.0
50802426,Home in Austin · 2 bedrooms · 2 beds · 1.5 baths,109638288,Vacasa Texas,,78702,30.266719882574996,-97.7203891008537,Entire home/apt,265,3,0,,,43,364,0,,"(-97.7203891008537, 30.266719882574996)",
50805111,Home in Austin · ★4.94 · 3 bedrooms · 5 beds · 2.5 baths,44380797,Lynn,,78702,30.26699,-97.70919,Entire home/apt,470,2,64,2023-07-23,2.51,9,113,27,,"(-97.70919, 30.26699)",2023.0
50810054,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 1 bath,75388657,Frances,,78702,30.2765,-97.71289,Entire home/apt,285,2,9,2022-10-23,0.35,2,0,1,,"(-97.71289, 30.2765)",2022.0
50810340,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,87600748,Jen,,78702,30.26419,-97.7143,Entire home/apt,599,2,12,2022-10-24,0.49,1,40,2,,"(-97.7143, 30.26419)",2022.0
50811390,Home in Austin · ★4.98 · 5 bedrooms · 6 beds · 4.5 baths,6661598,Connor,,78702,30.2753,-97.72767,Entire home/apt,1100,1,65,2023-07-12,2.46,1,221,21,,"(-97.72767, 30.2753)",2023.0
50811951,Tiny home in Austin · ★4.78 · 1 bedroom · 1 bed · 1 bath,48990716,Natasha,,78702,30.25727,-97.72263,Entire home/apt,136,2,60,2023-08-10,2.4,3,45,22,,"(-97.72263, 30.25727)",2023.0
50824069,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,3861174,Deborah,,78744,30.17151,-97.72999,Private room,66,1,43,2023-04-17,2.35,1,0,17,,"(-97.72999, 30.17151)",2023.0
50827067,Home in Austin · ★4.95 · 3 bedrooms · 4 beds · 2 baths,1748350,Conor,,78729,30.46327,-97.77814,Entire home/apt,246,3,22,2023-05-15,1.02,1,130,11,,"(-97.77814, 30.46327)",2023.0
50831694,Rental unit in Austin · ★4.73 · 2 bedrooms · 2 beds · 2 baths,243684594,Shirley,,78741,30.23867,-97.73005,Entire home/apt,229,1,52,2023-04-07,2.0,19,365,6,,"(-97.73005, 30.23867)",2023.0
50832581,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,29483135,Chris,,78704,30.24373,-97.76369,Entire home/apt,359,2,9,2023-04-16,0.39,1,0,6,,"(-97.76369, 30.24373)",2023.0
50842628,Guesthouse in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,4893298,Mary,,78704,30.25466,-97.77204,Entire home/apt,200,30,6,2023-03-10,0.25,3,112,3,,"(-97.77204, 30.25466)",2023.0
